agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
ORCA,15,random,123,0.98,0.89,0.23,44.09,0.07703882785496549,0.33921915769577027,0.022907688818326152,100
ORCA,15,random,456,0.99,0.92,0.19,39.67,0.08321177414859995,0.33504147931933403,0.01411646080161331,100
ORCA,15,random,9,0.99,0.94,0.16,40.36,0.08365778006383247,0.3443021368980408,0.020069375619425175,100
ORCA,15,random,10,0.99,0.95,0.07,40.49,0.08005655623488227,0.3446238127350807,0.016053346505309953,100
SARL,15,random,10,0.98,0.37,2.04,28.87,0.0485582575109257,0.28289064481854437,0.004502944232767579,100
SARL,15,random,123,0.97,0.33,3.0,31.19,0.05517888219347492,0.2676418798044324,0.02981724911830715,100
SARL,15,random,42,0.98,0.28,3.23,28.81,0.053936818386166846,0.2532393801957369,0.026032627559875045,100
SARL,15,random,456,0.99,0.37,2.37,27.64,0.0551218788121212,0.2715929777920246,0.001447178002894356,100
SARL,15,random,9,0.97,0.35,2.7,33.32,0.046805421073285926,0.2718744747340679,0.007503001200480192,100
DS_RNN,15,random,10,0.98,0.38,2.48,32.03,0.05668479803204657,0.27864412918686865,0.0021854511395566654,100
DS_RNN,15,random,123,0.93,0.38,2.57,35.31,0.04619038985865432,0.28325704246759414,0.03993203058623619,100
DS_RNN,15,random,42,0.98,0.29,2.51,25.09,0.06423452854772736,0.25375860910862685,0.005579912315663611,100
DS_RNN,15,random,456,0.96,0.41,2.22,33.21,0.04309581413610501,0.2826111817359924,0.012044564890093345,100
DS_RNN,15,random,9,0.94,0.35,2.43,30.33,0.052714274374301685,0.2914114440977573,0.051434223541048464,100
LSTM_RL,15,random,10,1.0,0.9,0.16,28.25,0.3397583517726135,0.34035520687699317,0.0035398230088495575,100
LSTM_RL,15,random,123,1.0,0.85,0.23,25.94,0.6313356186582169,0.33730728521943093,0.0030840400925212026,100
LSTM_RL,15,random,42,1.0,0.83,0.29,23.46,0.5804616222323937,0.33571540072560313,0.002131287297527707,100
LSTM_RL,15,random,456,1.0,0.84,0.27,26.79,0.5989207938940384,0.3364435614645481,0.0014930944382232176,100
LSTM_RL,15,random,9,1.0,0.87,0.19,25.01,0.5246003170089268,0.34081570103764536,0.0023990403838464614,100
PSS_Social,17,random,10,1.0,0.97,0.05,33.81,0.479317947619256,0.3474064579606056,0.003845016267376516,100
PSS_Social,17,random,123,1.0,0.94,0.09,31.22,0.6023640737743724,0.35239502012729645,0.007687379884689302,100
PSS_Social,17,random,42,1.0,0.92,0.13,24.29,0.5737989256106487,0.3453570967912674,0.004528612597776863,100
PSS_Social,17,random,456,0.99,0.91,0.17,35.16,0.4598012172510145,0.3459995768964291,0.006257110352673493,100
PSS_Social,17,random,9,1.0,0.96,0.07,35.6,0.4217436542831404,0.3607377314567566,0.012359550561797753,100
SFM,17,random,42,0.36,0.36,0.21,82.24,0.14695952842925286,0.37246041506528854,0.05751459143968871,100
SFM,17,random,123,0.38,0.38,0.36,83.27,0.13535498421776124,0.3686670272052288,0.05199951963492254,100
SFM,17,random,456,0.39,0.39,0.33,83.29,0.13489873211168232,0.36468791618943214,0.05738984271821347,100
SFM,17,random,9,0.29,0.29,0.02,86.14,0.12038362716608118,0.37415243208408355,0.07151149291850475,100
SFM,17,random,10,0.41,0.4,0.03,80.66,0.1250195122555391,0.3773343214392662,0.07389040416563353,100
ORCA,17,random,42,0.96,0.84,0.28,41.5,0.07909964616991276,0.3333594560623169,0.02530120481927711,100
ORCA,17,random,123,0.98,0.86,0.28,43.6,0.08109256449909272,0.3404710665345192,0.01834862385321101,100
ORCA,17,random,456,1.0,0.88,0.18,45.71,0.08537871608510601,0.3371595491468906,0.017282870269087727,100
ORCA,17,random,9,0.96,0.88,0.27,42.47,0.09098733238365346,0.33436479985713957,0.021662349894042855,100
ORCA,17,random,10,0.99,0.93,0.15,47.31,0.07991140619329604,0.33519437462091445,0.02092580849714648,100
SARL,17,random,10,0.94,0.35,2.46,34.28,0.04409148217639715,0.2867249585688114,0.021003500583430573,100
SARL,17,random,123,0.88,0.23,3.06,38.99,0.04592145859572358,0.2683365865051746,0.04770453962554501,100
